Term,Flight No,Operator,From,Airport name,Scheduled,Estimated,Touchdown,Est Chocks,Act Chocks,Stand,Max pax,Act Pax,Conn pax
2,UA880,United Airlines,IAH,Houston,05:55 22/10/2016,05:46 22/10/2016,05:46 22/10/2016,05:53 22/10/2016,,247,214,114,27
3,VS104,Virgin Atlantic Airways,ATL,Atlanta,06:05 22/10/2016,05:49 22/10/2016,,05:57 22/10/2016,,317,266,198,1
3,QF001,Qantas,SYD,Sydney,05:55 22/10/2016,05:49 22/10/2016,,05:56 22/10/2016,,301,484,314,45
5,BA212,British Airways,BOS,Boston,05:50 22/10/2016,05:50 22/10/2016,,05:59 22/10/2016,,535,275,272,126
5,BA138,British Airways,BOM,Mumbai,06:00 22/10/2016,05:51 22/10/2016,,06:00 22/10/2016,,542,297,254,155
3,VS602,Virgin Atlantic Airways,JNB,Johannesburg,05:35 22/10/2016,05:52 22/10/2016,,06:00 22/10/2016,,353,264,227,53
2,SQ322,Singapore Airlines,SIN,Singapore,04:55 22/10/2016,05:54 22/10/2016,,06:02 22/10/2016,,242,441,392,31
3,VS022,Virgin Atlantic Airways,IAD,Washington,06:20 22/10/2016,05:54 22/10/2016,,06:01 22/10/2016,,320,266,201,22
2,SA234,South African Airways,JNB,Johannesburg,05:25 22/10/2016,05:55 22/10/2016,,06:01 22/10/2016,,141,251,229,61
5,BA052,British Airways,SEA,Seattle,06:15 22/10/2016,05:58 22/10/2016,,06:06 22/10/2016,,,275,208,120
3,EK007,Emirates Airline,DXB,Dubai,06:05 22/10/2016,05:59 22/10/2016,,06:06 22/10/2016,,,517,399,2
4,9W120,Jet Airways,BOM,Mumbai,05:45 22/10/2016,06:00 22/10/2016,,06:12 22/10/2016,,,,278,32
2,SA236,South African Airways,JNB,Johannesburg,05:55 22/10/2016,06:05 22/10/2016,,06:13 22/10/2016,,,222,186,51
3,DL58,Delta Air Lines,BOS,Boston,06:25 22/10/2016,06:06 22/10/2016,,06:13 22/10/2016,,,211,175,1
2,UA901,United Airlines,SFO,San Francisco,06:10 22/10/2016,06:08 22/10/2016,,06:14 22/10/2016,,249,374,188,42
5,BA963,British Airways,HAM,Hamburg,06:35 22/10/2016,06:10 22/10/2016,,06:18 22/10/2016,,,133,113,23
5,BA194,British Airways,IAH,Houston,06:25 22/10/2016,06:12 22/10/2016,,06:20 22/10/2016,,,219,192,111
5,BA176,British Airways,JFK,New York,06:45 22/10/2016,06:13 22/10/2016,,06:21 22/10/2016,,,275,250,111
5,BA294,British Airways,ORD,Chicago,06:45 22/10/2016,06:15 22/10/2016,,06:23 22/10/2016,,,275,258,87
4,VN051,Vietnam Airlines,SGN,Ho Chi Minh,06:40 22/10/2016,06:17 22/10/2016,,06:29 22/10/2016,,,274,192,14
2,ET700,Ethiopian Airlines,ADD,Addis Ababa,05:50 22/10/2016,06:18 22/10/2016,,06:26 22/10/2016,,,343,343,19
3,BA365,British Airways,LYS,Lyon,06:35 22/10/2016,06:21 22/10/2016,,06:28 22/10/2016,,,162,138,20
2,EW1464,Eurowings,DUS,Dusseldorf,06:25 22/10/2016,06:22 22/10/2016,,06:30 22/10/2016,,,174,130,14
5,BA389,British Airways,BRU,Brussels,06:35 22/10/2016,06:23 22/10/2016,,06:31 22/10/2016,,,156,106,56
2,UA29,United Airlines,EWR,Newark,06:40 22/10/2016,06:24 22/10/2016,,06:31 22/10/2016,,233,214,176,33
3,AA056,American Airlines,MIA,Miami,07:05 22/10/2016,06:26 22/10/2016,,06:33 22/10/2016,,,247,226,142
3,CX251,Cathay Pacific,HKG,Hong Kong,04:40 22/10/2016,06:28 22/10/2016,,06:35 22/10/2016,,,275,241,14
5,BA423,British Airways,AMS,Amsterdam,06:25 22/10/2016,06:30 22/10/2016,,06:38 22/10/2016,,,187,112,46
3,AA106,American Airlines,JFK,New York,07:10 22/10/2016,06:31 22/10/2016,,06:38 22/10/2016,,,260,183,49
5,BA303,British Airways,CDG,Paris (CdG),06:45 22/10/2016,06:31 22/10/2016,,,,,143,,
5,BA054,British Airways,JNB,Johannesburg,06:20 22/10/2016,06:33 22/10/2016,,06:41 22/10/2016,,,337,297,134
3,VS112,Virgin Atlantic Airways,JFK,New York,07:00 22/10/2016,06:35 22/10/2016,,06:42 22/10/2016,,,308,293,5
2,LH924,Lufthansa,FRA,Frankfurt,06:40 22/10/2016,06:37 22/10/2016,,06:45 22/10/2016,,,158,135,3
5,BA751,British Airways,BSL,Basel,06:35 22/10/2016,06:38 22/10/2016,,06:46 22/10/2016,,,129,89,43
2,AC864,Air Canada,YUL,Montreal,06:25 22/10/2016,06:39 22/10/2016,,06:49 22/10/2016,,239,265,,38
4,AF1680,Air France,CDG,Paris (CdG),06:50 22/10/2016,06:39 22/10/2016,,,,,200,120,
4,KL1001,KLM Royal Dutch Airlines,AMS,Amsterdam,06:40 22/10/2016,06:40 22/10/2016,,,,,,,
4,FB851,Bulgaria Air,SOF,Sofia,06:55 22/10/2016,06:42 22/10/2016,,06:54 22/10/2016,,,164,118,2
5,BA236,British Airways,DME,Moscow,06:55 22/10/2016,06:43 22/10/2016,,06:51 22/10/2016,,,154,107,43
